ORDER,FAMILY,GENERA,FEATURE,COMMENT
Accipitriformes,,,hawks_eagles_kites,
Anseriformes,Anatidae,"Aythya, Marmaronetta, Netta",diving_ducks,
Anseriformes,Anatidae,"Amazonetta, Anas, Lophonetta, Mareca, Sibirionetta, Spatula, Speculanas",dabbling_ducks,
Anseriformes,Anhimidae,,screamers,
Anseriformes,Anseranatidae,,magpie_goose,
Anseriformes,,,other_waterfowl,
Apterygiformes,,,other,
Bucerotiformes,,,other,
Caprimulgiformes,,,other,
Cariamiformes,,,other,
Casuariiformes,,,other,
Cathartiformes,,,new_world_vultures,
Charadriiformes,,,shorebirds,
Ciconiiformes,,,other,
Coliiformes,,,other,
Columbiformes,,,doves_and_pigeons,
Coraciiformes,,,other,
Cuculiformes,,,other,
Eurypygiformes,,,other,
Falconiformes,,,falcons,
Galbuliformes,,,other,
Galliformes,,,landfowl,
Gaviiformes,,,divers,order of aquatic birds
Gruiformes,,,other,
Leptosomiformes,,,other,
Mesitornithiformes,,,other,
Musophagiformes,,,other,
Opisthocomiformes,,,other,
Otidiformes,,,other,
Passeriformes,,,perching_birds,
Pelecaniformes,,,other,
Phaethontiformes,,,other,
Phoenicopteriformes,,,flamingos,
Piciformes,,,other,
Podicipediformes,,,aquatic_diving_birds,
Procellariiformes,,,seabirds,
Psittaciformes,,,parrots,
Pterocliformes,,,sandgrouse,
Rheiformes,,,other,
Sphenisciformes,,,other,
Strigiformes,,,owls,
Struthioniformes,,,other,
Suliformes,,,other,
Tinamiformes,,,other,
Trogoniformes,,,other,